Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
Dragon Gundam ;1/100;High Grade; G Gundam;;3713,06;289;11,84
G Gundam ;1/100;High Grade; G Gundam;;3722,36;328;11,84
G Gundam Hyper Mode Ver. ;1/100;High Grade; G Gundam;;3586,8;322;14,21
Gun Blastor ;1/100;High Grade; V Gundam;;3471,3;264;7,9
Gundam Deathscythe-Hell Custom ;1/100;High Grade; Gundam W Endless Waltz ;;;398;15,79
Gundam Maxter ;1/100;High Grade; G Gundam;;3817,8;315;11,84
Gundam Sandrock Custom ;1/100;High Grade; Gundam W Endless Waltz ;;4712;391;15,79
LM312V04 Victory Gundam ;1/100;High Grade; V Gundam;;3685,5;303;11,84
Master Gundam ;1/100;High Grade; G Gundam;;5133,2;393;11,84
OZ-13MS Gundam Epyon ;1/100;High Grade; Gundam W ;;;346;11,84
Rising Gundam ;1/100;High Grade; G Gundam;;3813,38;320;11,84
Serpent Custom ;1/100;High Grade; Gundam W Endless Waltz ;;6344,4;519;15,79
Shining Gundam ;1/100;High Grade; G Gundam;;3669,9;299;11,84
Tallgeese III ;1/100;High Grade; Gundam W Endless Waltz ;;6344,4;517;19,74
V-Dash Gundam ;1/100;High Grade; V Gundam;;4618,38;407;14,21
V2 Assault Gundam ;1/100;High Grade; V Gundam;;4559,17;388;14,21
V2 Buster Gundam ;1/100;High Grade; V Gundam;;4642,56;392;14,21
V2 Gundam ;1/100;High Grade; V Gundam;;3591;302;11,84
W-Gundam Zero Custom ;1/100;High Grade; Gundam W Endless Waltz ;;4880,64;429;15,79
Wing Gundam Zero Custom Special ;1/100;High Grade; Gundam W Endless Waltz;;;441;23,69
XXXG-00W0 Wing Gundam Zero ;1/100;High Grade; Gundam W ;;3782,4;347;11,84
XXXG-01D Gundam Deathscythe ;1/100;High Grade; Gundam W ;;3959,7;316;11,84
XXXG-01D2 Gundam Deathscyth Hell ;1/100;High Grade; Gundam W ;;;379;14,21
XXXG-01H2 Gundam H-Arms Cusutom ;1/100;High Grade; Gundam W Endless Waltz ;;4855,22;393;15,79
XXXG-01S Shenlong Gundam ;1/100;High Grade; Gundam W ;;3510;299;11,84
XXXG-01S2 Altron Gundam ;1/100;High Grade; Gundam W ;;4417,5;389;14,21
XXXG-01W Wing Gundam ;1/100;High Grade; Gundam W ;;3627;344;11,84
Zollidia ;1/100;High Grade; V Gundam;;3471,3;266;7,9
High-Resolution Model Gundam Barbatos ;1/100;High Resolution;High-Resolution Model;2016;10028,93;826;151,61
High-Resolution Model Wing Gundam Zero EW ;1/100;High Resolution;High-Resolution Model;2017;11658,62;1132;113,7
*w/Premium Decal Hi-Nu Gundam Ver.Ka ;1/100;Master Grade;MG Char`s Counter Attack;2017;16926;1300;66,33
*w/Premium Decal MSN-04 Sazabi Ver.Ka ;1/100;Master Grade;MG Char`s Counter Attack;2017;26461,5;1643;85,28
*w/Premium Decal MSZ-010 ZZ Gundam Ver.Ka ;1/100;Master Grade;MG ZZ Gundam;2017;13284,97;1189;56,85
*w/Premium Decal RX-0 Full Armor Unicorn Gundam Ver.Ka ;1/100;Master Grade;MG Gundam UC;2017;19091,36;1673;75,8
*w/Premium Decal RX-93 Nu Gundam Ver.Ka ;1/100;Master Grade;MG Char`s Counter Attack;2017;13496,56;1163;66,33
*w/Premium Decal V2 Gundam Ver.Ka ;1/100;Master Grade;MG V Gundam;2017;8328,46;645;42,64
00 QAN[T] Full Saber ;1/100;Master Grade;MG Gundam ;2018;11485,5;880;52,11
AMS-119 Geara Doga ;1/100;Master Grade;MG Char`s Counter Attack;2013;11596,65;904;45,48
AMX-004 Qubeley ;1/100;Master Grade;MG Z Gundam;2001;13677,84;957;37,9
AMX-004-3 Qubeley Mk-II ;1/100;Master Grade;MG ZZ Gundam;2004;;949;37,9
Build Gundam Mk-II ;1/100;Master Grade;MG Build Fighters;2014;11001,9;915;47,38
Build Strike Gundam Full Package ;1/100;Master Grade;MG Build Fighters;2014;11001,9;916;39,8
Concept-X6-1-2 Turn X ;1/100;Master Grade;MG Other Gundam;2014;11618,88;991;56,85
Core Booster Ver.Ka ;1/100;Master Grade;MG V Gundam;2010;5890;485;20,85
Dramatic Combination [MG Freedom Gundam Ver.2.0 & Figure-rise Bust Kira Yamato] ;1/100;Master Grade;MG Gundam SEED;2017;13208,83;1061;54,01
FA-010A Fazz ;1/100;Master Grade;MG Other Gundam;2001;;1402;56,85
FA-010S Full Armor ZZ Gundam ;1/100;Master Grade;MG ZZ Gundam;;17530,5;1427;56,85
FA-78-1 Full Armor Gundam ;1/100;Master Grade;MG MSV;2010;11001,9;843;47,38
Freedom Gundam Extra Finish ;1/100;Master Grade;MG Gundam SEED;2005;;1323;75,8
Freedom Gundam Ver.2.0 ;1/100;Master Grade;MG Gundam SEED;2016;11401,26;1001;42,64
Full Armor Gundam Ver.Ka ;1/100;Master Grade;MG Gundam Thunderbolt;2016;12815,4;1202;66,33
FXA-05D/RX-178 Super Gundam ;1/100;Master Grade;MG Z Gundam;;;1048;37,9
G Armor Real Type Color ;1/100;Master Grade;MG Gundam;2009;22278,4;1619;92,86
G Fighter [For Gundam Ver. 2.0 Operation V Model] ;1/100;Master Grade;MG Gundam;2009;11422,88;976;53,06
GAT-X102 Duel Gundam Assault Shroud ;1/100;Master Grade;MG Gundam SEED;2012;10151,23;783;39,8
GAT-X103 Buster Gundam ;1/100;Master Grade;MG Gundam SEED;2012;8561,28;650;37,9
GAT-X105 Aile Strike Gundam ;1/100;Master Grade;MG Gundam SEED;2003;;965;36,01
GAT-X105 Aile Strike Gundam Ver.RM ;1/100;Master Grade;MG Gundam SEED;2013;11955,22;957;39,8
GAT-X105 Launcher & Sword Strike Gundam ;1/100;Master Grade;MG Gundam SEED;2008;;931;47,38
GAT-X105 Strike Gundam IWSP ;1/100;Master Grade;MG Gundam SEED;2006;11618,88;868;39,8
GAT-X105E Strike E+IWSP Lukas O`Donnell Custom ;1/100;Master Grade;MG Gundam SEED;2008;11430,49;955;42,64
GAT-X105E Strike Noir Gundam ;1/100;Master Grade;MG Gundam SEED;2007;;812;42,64
GAT-X207 Blitz Gundam ;1/100;Master Grade;MG Gundam SEED;2012;8539,44;645;37,9
GAT-X303 Aegis Gundam ;1/100;Master Grade;MG Gundam SEED;2012;10522,58;791;45,48
