"Nombre","Factor_Escala","Escala","Detalle","Serie","Embalaje","Peso","Precio"
"Grade Up Set For 5Mobile Fighters",4,"1/144","No-Grade","G Gundam",855,71,1.58
"Weapons For Mobile Suit",4,"1/144","No-Grade","First Gundam",1032.19,75,2.84
"Ninpulse Beams",4,"1/144","High Grade","Build Custom",1368,77,5.69
"Weapons for Mobile Suit",4,"1/144","No-Grade","Z Gundam",1040.26,78,2.37
"Gya Eastern Weapons",4,"1/144","High Grade","Build Custom",1260.54,82,5.69
"24th Century Weapons",4,"1/144","High Grade","Build Custom",1339.5,84,5.69
"GM/GM Weapons",4,"1/144","High Grade","Build Custom",1377.12,84,5.69
"Kurenai Weapon",4,"1/144","High Grade","Build Custom",1260.54,84,5.69
"Changeling Rifle",4,"1/144","High Grade","Build Custom",1260.54,85,5.69
"MS Option Set 3 & Gjallarhorn Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1288.55,86,5.69
"MS-06S Char`s Zaku",4,"1/144","No-Grade","First Gundam",1048.32,86,2.84
"RGM-79 GM",4,"1/144","No-Grade","First Gundam",983.04,86,2.84
"Matsuri Weapon",4,"1/144","High Grade","Build Custom",1389.15,87,5.69
"Ballistic Weapons",4,"1/144","High Grade","Build Custom",1351.3,88,5.69
"MS-06 Zaku",4,"1/144","No-Grade","First Gundam",1040.26,88,2.84
"RX-78 Gundam",4,"1/144","No-Grade","First Gundam",988,88,2.84
"Garma`s Dopp",4,"1/144","EX","EX Model",1206.79,90,11.37
"BR-79 Ball",4,"1/144","No-Grade","First Gundam",1037.4,90,2.84
"FF-X7-Bst Core Booster",4,"1/144","No-Grade","First Gundam",1048.32,90,2.84
"MSM-07 Z`Gok",4,"1/144","No-Grade","First Gundam",1078.87,91,2.84
"EMS-05 Agg",4,"1/144","No-Grade","MSV",965.2,92,2.37
"MSM-07S Char`s Z`Gok",4,"1/144","No-Grade","First Gundam",1028.69,92,2.84
"Ez-Arms",4,"1/144","High Grade","Build Custom",1348.43,93,5.69
"Portant Flyer",4,"1/144","High Grade","Build Custom",1225.5,93,5.69
"MS-05 Zaku",4,"1/144","No-Grade","First Gundam",983.04,93,2.84
"Mock Army Set",4,"1/144","High Grade","Build Custom",1325.4,94,5.69
"MS Option Set 8 & SAU Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1325.4,95,5.69
"Petitgguy Bitter Sweet & Chocolate",4,"1/144","High Grade","Petit`Gguy",1273.1,95,5.21
"Petitgguy Future Pink",4,"1/144","High Grade","Petit`Gguy",1348.43,95,4.74
"MS-07 Gouf",4,"1/144","No-Grade","First Gundam",1042.94,95,2.84
"Build Booster",4,"1/144","High Grade","Build Custom",1348.43,96,4.74
"Mega Ride Launcher",4,"1/144","High Grade","Build Custom",1325.4,96,5.69
"Petitgguy Burning Red",4,"1/144","High Grade","Petit`Gguy",1334.24,96,4.74
"Petitgguy Lightning Blue",4,"1/144","High Grade","Petit`Gguy",1339.5,96,4.74
"Petitgguy Soda Pop Blue & Ice Candy",4,"1/144","High Grade","Petit`Gguy",1314.5,96,5.21
"Petitgguy Winning Yellow",4,"1/144","High Grade","Petit`Gguy",1368,96,4.74
"RX-77 Gun Cannon",4,"1/144","No-Grade","First Gundam",1028.69,96,2.84
"Build Hands Square Type [S,M,L]",4,"1/144","High Grade","Build Custom",1260.54,97,5.69
"Petitgguy Pretty in Pink & Peti Petitgguy",4,"1/144","High Grade","Petit`Gguy",1405.81,97,5.21
"Spinning Blaster",4,"1/144","High Grade","Build Custom",1357.36,97,5.69
"*Bargain Item* Build Hands Round Type [S,M,L]",4,"1/144","High Grade","Build Custom",1260.54,98,5.69
"Dimension Build Knuckles [Kaku]",4,"1/144","High Grade","Build Custom",1348.43,98,5.69
"Petitgguy Bow-wow White & Dog Costume",4,"1/144","High Grade","Petit`Gguy",1417.5,98,5.21
"Petitgguy Cha-Cha-Cha Brown",4,"1/144","High Grade","Petit`Gguy",1364.5,98,4.74
"Petitgguy Milk White",4,"1/144","High Grade","Petit`Gguy",1348.43,98,4.74
"Petitgguy Stray Black & Cat Costume",4,"1/144","High Grade","Petit`Gguy",1360.8,98,5.21
"Dimension Build Knuckles [Maru]",4,"1/144","High Grade","Build Custom",1260.54,99,5.69
"MS Option Set 1 & CGS Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1341.33,99,5.69
"Petitgguy Surf Green & Guitar",4,"1/144","High Grade","Petit`Gguy",1350.22,99,5.21
"The Northern Pod",4,"1/144","High Grade","Build Custom",1260.54,99,5.69
"MS Option Set 4 & Union Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1260.54,100,5.69
"MS Option Set 5 & Tekkadan Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1235.3,100,5.69
"MS Option Set 6 & HD Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1377.12,100,5.69
"MS Option Set 7",4,"1/144","High Grade","Iron-Blooded Arms",1431.93,100,5.69
"Petitgguy Rapapan Purple & Drum",4,"1/144","High Grade","Petit`Gguy",1353.6,100,5.21
"MS-15 Gyan",4,"1/144","No-Grade","First Gundam",1032.19,100,2.84
"MSM-04 Acguy",4,"1/144","No-Grade","First Gundam",983.04,100,2.84
"RB-79K Ball",4,"1/144","No-Grade","Gundam (LM)",1377.12,100,6.63
"Dark Matter Booster",4,"1/144","High Grade","Build Custom",1339.5,102,5.69
"Petitgguy Allelujah Haptism Orange & Placard",4,"1/144","High Grade","Petit`Gguy",1353.6,102,4.74
"Petitgguy Divers Blue & Placard",4,"1/144","High Grade","Petit`Gguy",1260.54,102,4.74
"Petitgguy Graham Aker White & Placard",4,"1/144","High Grade","Petit`Gguy",1325.4,102,4.74
"Petitgguy Lockon Stratos Green & Placard",4,"1/144","High Grade","Petit`Gguy",1332.45,102,4.74
"Petitgguy Rusty Orange & Placard",4,"1/144","High Grade","Petit`Gguy",1325.4,102,4.74
