Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
Gundam Exia ;1/60;Perfect Grade;Perfect Grade (PG);2017;40828,00;3220,00;303,21
XXXG-00W0 W-Gundam Zero Custom Special Ver.;1/60;Perfect Grade;Perfect Grade (PG);2007;26998,40;2300,00;284,26
Strike Freedom Gundam ;1/60;Perfect Grade;Perfect Grade (PG);2010;41174,00;3360,00;236,88
00 Raiser ;1/60;Perfect Grade;Perfect Grade (PG);2009;48510,00;4380,00;236,88
RX-0 [N] Unicorn Gundam 02 Banshee Norn ;1/60;Perfect Grade;Perfect Grade (PG);2015;48544,00;3600,00;208,46
MS-06F Zaku II 30th Anniversary Model Extra Finish Ver. ;1/60;Perfect Grade;Perfect Grade (PG);2010;;1527,00;208,46
RX-78-2 Gundam 30th Anniversary Limited Model Extra Finish Ver. ;1/60;Perfect Grade;Perfect Grade (PG);2010;;1624,00;208,46
MSZ-006 Zeta Gundam ;1/60;Perfect Grade;Perfect Grade (PG);2014;34298,64;3280,00;189,51
RX-0 Unicorn Gundam ;1/60;Perfect Grade;Perfect Grade (PG);2014;41821,33;3380,00;189,51
RX-78 GP01/Fb Gundam GP01 ;1/60;Perfect Grade;Perfect Grade (PG);2003;64905,84;4860,00;189,51
Aile Strike Gundam + Skygrasper 30th Anniversary Color Clear Ver. ;1/60;Perfect Grade;Perfect Grade (PG);2010;;2900,00;189,51
Strike Rouge + Sky Grasper ;1/60;Perfect Grade;Perfect Grade (PG);2005;33666,74;2950,00;180,03
Gundam Astray Red Frame ;1/60;Perfect Grade;Perfect Grade (PG);2009;33874,57;2560,00;170,56
Gundam Exia ;1/60;Perfect Grade;Perfect Grade (PG);2017;40828,00;3000,00;170,56
W-Gundam Zero Custom ;1/60;Perfect Grade;Perfect Grade (PG);2000;22112,38;2002,00;142,13
RX-178 Gundam Mk-II Titans Color ;1/60;Perfect Grade;Perfect Grade (PG);2002;26845,00;2160,00;142,13
RX-178 Gundam Mk-II A.E.U.G. ;1/60;Perfect Grade;Perfect Grade (PG);2001;;2200,00;142,13
Strike Gundam ;1/60;Perfect Grade;Perfect Grade (PG);2004;22525,37;1711,00;132,65
LED Unit for RX-0 Unicorn Gundam ;1/60;Perfect Grade;Perfect Grade (PG);2014;3268,19;304,00;113,70
MS-06F Zaku II ;1/60;Perfect Grade;Perfect Grade (PG);1999;22112,38;1639,00;113,70
MS-06S Char`s Zaku II ;1/60;Perfect Grade;Perfect Grade (PG);;22112,38;1650,00;113,70
RX-78-2 Gundam ;1/60;Perfect Grade;Perfect Grade (PG);1998;22336,50;1745,00;113,70
Sky Grasper + Aile Striker ;1/60;Perfect Grade;Perfect Grade (PG);2014;;1046,00;47,38
MS-06 Zaku II Custom Set 2 ;1/60;Perfect Grade;Perfect Grade (PG);;6283,20;466,00;28,43
Mega Size Model Gundam AGE-2 Normal ;1/48;Mega Size;Mega Size Model AGE;2012;26998,40;1979,00;83,38
Mega Size Model Gundam AGE-1 Normal ;1/48;Mega Size;Mega Size Model AGE;2011;22455,64;1576,00;80,54
Mega Size Model RX-78-2 Gundam ;1/48;Mega Size;Mega Size Model;2010;;1498,00;73,91
Mega Size Model Zaku II ;1/48;Mega Size;Mega Size Model;2011;27724,80;1872,00;73,91
Mega Size Model Char`s Zaku ;1/48;Mega Size;Mega Size Model;2010;27797,76;1789,00;73,91
La-Vie-En Rose ;1/1700;EX;EX Model;2006;13522,08;1010,00;61,59
Arbion Limited Edition ;1/1700;EX;EX Model;2006;4559,17;335,00;42,64
LCAM-01XA Archangel ;1/1700;EX;EX Model;2004;5704,00;471,00;42,64
LCAM-01XA Archangel ;1/1700;EX;EX Model;2004;5704,00;471,00;42,64
Ahgama Limited Edition ;1/1700;EX;EX Model;2006;;330,00;42,64
Ahgama Limited Edition ;1/1700;EX;EX Model;2006;;330,00;42,64
Arbion Limited Edition ;1/1700;EX;EX Model;2006;;335,00;42,64
Salamis and Magellan ;1/1700;EX;EX Model;2005;3876,00;284,00;37,90
Salamis and Magellan ;1/1700;EX;EX Model;2005;3876,00;284,00;37,90
LHM-BB01 Minerva ;1/1700;EX;EX Model;2005;4523,52;314,00;37,90
LHM-BB01 Minerva ;1/1700;EX;EX Model;2005;4523,52;314,00;37,90
