"Nombre","Escala","Detalle","Serie","Embalaje","Peso","Precio"
"933","Grade Up Set For 5Mobile Fighters","1/144","No-Grade","G Gundam",855,71,1.58
"931","EMS-05 Agg","1/144","No-Grade","MSV",965.2,92,2.37
"359","Marasai","1/144","High Grade","UC",976.01,340,15.16
"913","RGM-79 GM","1/144","No-Grade","First Gundam",983.04,86,2.84
"914","MSM-04 Acguy","1/144","No-Grade","First Gundam",983.04,100,2.84
"915","MS-05 Zaku","1/144","No-Grade","First Gundam",983.04,93,2.84
"916","RX-78 Gundam","1/144","No-Grade","First Gundam",988,88,2.84
"927","MS-06S Char`s Zaku II","1/144","First Grade","Gundam (FG)",1014,125,2.84
"928","MS-06F Zaku II","1/144","No-Grade","Gundam (FG)",1014,124,2.37
"929","MS-06S Char`s Zaku II","1/144","No-Grade","Gundam (FG)",1014,125,2.37
"930","RX-78-2 Gundam","1/144","No-Grade","Gundam (FG)",1014,108,2.37
"917","MSM-07S Char`s Z`Gok","1/144","No-Grade","First Gundam",1028.69,92,2.84
"918","RX-77 Gun Cannon","1/144","No-Grade","First Gundam",1028.69,96,2.84
"919","Weapons For Mobile Suit","1/144","No-Grade","First Gundam",1032.19,75,2.84
"920","MS-15 Gyan","1/144","No-Grade","First Gundam",1032.19,100,2.84
"937","Char`s Musai","1/1200","No-Grade","Vessels",1032.19,80,2.84
"921","BR-79 Ball","1/144","No-Grade","First Gundam",1037.4,90,2.84
"922","MS-06 Zaku","1/144","No-Grade","First Gundam",1040.26,88,2.84
"932","Weapons for Mobile Suit","1/144","No-Grade","Z Gundam",1040.26,78,2.37
"923","MS-07 Gouf","1/144","No-Grade","First Gundam",1042.94,95,2.84
"924","FF-X7-Bst Core Booster","1/144","No-Grade","First Gundam",1048.32,90,2.84
"925","MS-06S Char`s Zaku","1/144","No-Grade","First Gundam",1048.32,86,2.84
"938","Gaw","1/1200","No-Grade","Vessels",1048.32,84,2.84
"939","Musai-class Light Cruiser","1/1200","No-Grade","Vessels",1048.32,80,2.84
"926","MSM-07 Z`Gok","1/144","No-Grade","First Gundam",1078.87,91,2.84
"841","RX-139 Hambrabi","1/144","No-Grade","Z Gundam",1197.99,186,4.74
"563","Garma`s Dopp","1/144","EX","EX Model",1206.79,90,11.37
"704","Portant Flyer","1/144","High Grade","Build Custom",1225.5,93,5.69
"725","MS Option Set 5 & Tekkadan Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1235.3,100,5.69
